Date,Town,Cases,Rate
6/3/2020,Abington,230,1280.56
6/3/2020,Acton,152,640.48
6/3/2020,Acushnet,86,822.7
6/3/2020,Adams,35,422.67
6/3/2020,Agawam,440,1538.23
6/3/2020,Alford,,
6/3/2020,Amesbury,170,1021.3
6/3/2020,Amherst,93,229.64
6/3/2020,Andover,299,830.21
6/3/2020,Aquinnah,0,0
6/3/2020,Arlington,301,657.08
6/3/2020,Ashburnham,30,477.71
6/3/2020,Ashby,15,433.84
6/3/2020,Ashfield,,
6/3/2020,Ashland,243,1246.62
6/3/2020,Athol,58,484.74
6/3/2020,Attleboro,625,1350.83
6/3/2020,Auburn,205,1243
6/3/2020,Avon,68,1552.27
6/3/2020,Ayer,114,1410.89
6/3/2020,Barnstable,349,778.23
6/3/2020,Barre,56,1007.6
6/3/2020,Becket,12,666.5
6/3/2020,Bedford,254,1705.11
6/3/2020,Belchertown,96,602.91
6/3/2020,Bellingham,123,688.06
6/3/2020,Belmont,229,838.64
6/3/2020,Berkley,66,973.43
6/3/2020,Berlin,22,688.95
6/3/2020,Bernardston,6,286.94
6/3/2020,Beverly,581,1411.34
6/3/2020,Billerica,515,1181.65
6/3/2020,Blackstone,44,486.49
6/3/2020,Blandford,,
6/3/2020,Bolton,12,237.5
6/3/2020,Boston,13417,1930.59
6/3/2020,Bourne,151,721.8
6/3/2020,Boxborough,24,469.89
6/3/2020,Boxford,39,505.36
6/3/2020,Boylston,19,423.27
6/3/2020,Braintree,793,2014.75
6/3/2020,Brewster,98,988.67
6/3/2020,Bridgewater,345,1212.78
6/3/2020,Brimfield,6,161.06
6/3/2020,Brockton,4064,4136.46
6/3/2020,Brookfield,20,546.19
6/3/2020,Brookline,365,566.91
6/3/2020,Buckland,8,430
6/3/2020,Burlington,258,933.31
6/3/2020,Cambridge,948,840.53
6/3/2020,Canton,282,1222.65
6/3/2020,Carlisle,15,314.55
6/3/2020,Carver,57,468.12
6/3/2020,Charlemont,,
6/3/2020,Charlton,67,476.12
6/3/2020,Chatham,13,221.99
6/3/2020,Chelmsford,320,889.34
6/3/2020,Chelsea,2779,7378.28
6/3/2020,Cheshire,,
6/3/2020,Chester,,
6/3/2020,Chesterfield,,
6/3/2020,Chicopee,407,713.85
6/3/2020,Chilmark,,
6/3/2020,Clarksburg,7,415.82
6/3/2020,Clinton,227,1612.76
6/3/2020,Cohasset,24,324.35
6/3/2020,Colrain,,
6/3/2020,Concord,170,907.88
6/3/2020,Conway,,
6/3/2020,Cummington,,
6/3/2020,Dalton,9,137.99
6/3/2020,Danvers,706,2472.35
6/3/2020,Dartmouth,365,991.32
6/3/2020,Dedham,371,1367.75
6/3/2020,Deerfield,8,150.02
6/3/2020,Dennis,94,710.85
6/3/2020,Dighton,57,726.51
6/3/2020,Douglas,44,468.1
6/3/2020,Dover,18,345.41
6/3/2020,Dracut,447,1383.67
6/3/2020,Dudley,76,613.7
6/3/2020,Dunstable,10,300.12
6/3/2020,Duxbury,102,674.01
6/3/2020,East Bridgewater,174,1179.15
6/3/2020,East Brookfield,10,446.14
6/3/2020,East Longmeadow,267,1578.53
6/3/2020,Eastham,10,215.22
6/3/2020,Easthampton,79,487.25
6/3/2020,Easton,259,1092.91
6/3/2020,Edgartown,7,170.66
6/3/2020,Egremont,5,456.27
6/3/2020,Erving,6,286.53
6/3/2020,Essex,23,618.17
6/3/2020,Everett,1647,3393.33
6/3/2020,Fairhaven,227,1416.05
6/3/2020,Fall River,1363,1523.8
6/3/2020,Falmouth,185,591.97
6/3/2020,Fitchburg,758,1798.22
6/3/2020,Florida,,
6/3/2020,Foxborough,110,607.3
6/3/2020,Framingham,1681,2257.4
6/3/2020,Franklin,124,366.73
6/3/2020,Freetown,89,983.61
6/3/2020,Gardner,190,950.48
6/3/2020,Georgetown,54,604.44
6/3/2020,Gill,,
6/3/2020,Gloucester,251,876.86
6/3/2020,Goshen,,
6/3/2020,Gosnold,0,0
6/3/2020,Grafton,94,471.31
6/3/2020,Granby,28,455.91
6/3/2020,Granville,10,642.55
6/3/2020,Great Barrington,72,1059.49
6/3/2020,Greenfield,193,1111.47
6/3/2020,Groton,40,343.48
6/3/2020,Groveland,30,439
6/3/2020,Hadley,42,730.39
6/3/2020,Halifax,55,719.76
6/3/2020,Hamilton,31,414.77
6/3/2020,Hampden,83,1679.9
6/3/2020,Hancock,,
6/3/2020,Hanover,67,467.72
6/3/2020,Hanson,98,915.31
6/3/2020,Hardwick,9,271.78
6/3/2020,Harvard,17,245.4
6/3/2020,Harwich,121,963.14
6/3/2020,Hatfield,16,492.74
6/3/2020,Haverhill,1135,1723.73
6/3/2020,Hawley,0,0
6/3/2020,Heath,0,0
6/3/2020,Hingham,257,1080.39
6/3/2020,Hinsdale,,
6/3/2020,Holbrook,187,1655.59
6/3/2020,Holden,102,540.8
6/3/2020,Holland,8,312.46
6/3/2020,Holliston,56,406.25
6/3/2020,Holyoke,842,2043.47
6/3/2020,Hopedale,39,686.74
6/3/2020,Hopkinton,119,729.42
6/3/2020,Hubbardston,5,107.28
6/3/2020,Hudson,179,854.56
6/3/2020,Hull,48,486
6/3/2020,Huntington,14,633.09
6/3/2020,Ipswich,66,490.82
6/3/2020,Kingston,131,965.84
6/3/2020,Lakeville,55,487.13
6/3/2020,Lancaster,87,1015.43
6/3/2020,Lanesborough,8,262.63
6/3/2020,Lawrence,3163,3587.15
6/3/2020,Lee,18,306.13
6/3/2020,Leicester,147,1305.06
6/3/2020,Lenox,13,266.47
6/3/2020,Leominster,613,1510.15
6/3/2020,Leverett,,
6/3/2020,Lexington,316,928.18
6/3/2020,Leyden,0,0
6/3/2020,Lincoln,36,416.04
6/3/2020,Littleton,99,1018.71
6/3/2020,Longmeadow,204,1315.3
