County,Town,City,Seat
Barnstable,BARNSTABLE,c,s 
Barnstable,Bourne ,,
Barnstable,Brewster ,,
Barnstable,Chatham ,,
Barnstable,Dennis ,,
Barnstable,Eastham ,,
Barnstable,Falmouth ,,
Barnstable,Harwich ,,
Barnstable,Mashpee ,,
Barnstable,Orleans ,,
Barnstable,Provincetown ,,
Barnstable,Sandwich ,,
Barnstable,Truro ,,
Barnstable,Wellfleet ,,
Barnstable,Yarmouth ,,
Berkshire,Adams ,,
Berkshire,Alford ,,
Berkshire,Becket ,,
Berkshire,Cheshire ,,
Berkshire,Clarksburg ,,
Berkshire,Dalton ,,
Berkshire,Egremont ,,
Berkshire,Florida ,,
Berkshire,Great Barrington ,,
Berkshire,Hancock ,,
Berkshire,Hinsdale ,,
Berkshire,Lanesborough ,,
Berkshire,Lee ,,
Berkshire,Lenox ,,
Berkshire,Monterey ,,
Berkshire,Mt. Washington ,,
Berkshire,New Ashford ,,
Berkshire,New Marlborough ,,
Berkshire,NORTH ADAMS,c,
Berkshire,Otis ,,
Berkshire,Peru ,,
Berkshire,PITTSFIELD,c,s 
Berkshire,Richmond ,,
Berkshire,Sandisfield ,,
Berkshire,Savoy ,,
Berkshire,Sheffield ,,
Berkshire,Stockbridge ,,
Berkshire,Tyringham ,,
Berkshire,Washington ,,
Berkshire,West Stockbridge ,,
Berkshire,Williamstown ,,
Berkshire,Windsor ,,
Bristol,Acushnet ,,
Bristol,ATTLEBORO,c,
Bristol,Berkley ,,
Bristol,Dartmouth ,,
Bristol,Dighton ,,
Bristol,Easton ,,
Bristol,Fairhaven ,,
Bristol,FALL RIVER,c,s
Bristol,Freetown ,,
Bristol,Mansfield ,,
Bristol,NEW BEDFORD,c,s
Bristol,North Attleborough ,,
Bristol,Norton ,,
Bristol,Raynham ,,
Bristol,Rehoboth ,,
Bristol,Seekonk ,,
Bristol,Somerset ,,
Bristol,Swansea ,,
Bristol,TAUNTON,c,s
Bristol,Westport ,,
Dukes,Aquinnah ,,
Dukes,Chilmark ,,
Dukes,Edgartown,,s
Dukes,Gosnold ,,
Dukes,Oak Bluffs ,,
Dukes,Tisbury ,,
Dukes,West Tisbury ,,
Essex,AMESBURY,c,
Essex,Andover ,,
Essex,BEVERLY,c,
Essex,Boxford ,,
Essex,Danvers ,,
Essex,Essex ,,
Essex,Georgetown ,,
Essex,GLOUCESTER,c ,
Essex,Groveland ,,
Essex,Hamilton ,,
Essex,HAVERHILL,c,
Essex,Ipswich ,,
Essex,LAWRENCE,c,s
Essex,LYNN ,,
Essex,Lynnfield ,,
Essex,Manchester by the sea ,,
Essex,Marblehead ,,
Essex,Merrimac ,,
Essex,METHUEN,c,
Essex,Middleton ,,
Essex,Nahant ,,
Essex,Newbury ,,
Essex,NEWBURYPORT,c,s
Essex,North Andover ,,
Essex,PEABODY,c,
Essex,Rockport ,,
Essex,Rowley ,,
Essex,SALEM,c,s
Essex,Salisbury ,,
Essex,Saugus ,,
Essex,Swampscott ,,
Essex,Topsfield ,,
Essex,Wenham ,,
Essex,West Newbury ,,
Franklin,Ashfield ,,
Franklin,Bernardston ,,
Franklin,Buckland ,,
Franklin,Charlemont ,,
Franklin,Colrain ,,
Franklin,Conway ,,
Franklin,Deerfield ,,
Franklin,Erving ,,
Franklin,Gill ,,
Franklin,GREENFIELD,c,s
Franklin,Hawley ,,
Franklin,Heath ,,
Franklin,Leverett ,,
Franklin,Leyden ,,
Franklin,Monroe ,,
Franklin,Montague ,,
Franklin,New Salem ,,
Franklin,Northfield ,,
Franklin,Orange ,,
Franklin,Rowe ,,
Franklin,Shelburne ,,
Franklin,Shutesbury,,
Franklin,Sunderland ,,
Franklin,Warwick ,,
Franklin,Wendell ,,
Franklin,Whately ,,
Hampden,AGAWAM,c,
Hampden,Blandford ,,
Hampden,Brimfield ,,
Hampden,Chester ,,
Hampden,CHICOPEE,c,
Hampden,East Longmeadow ,,
Hampden,Granville ,,
Hampden,Hampden ,,
Hampden,Holland ,,
Hampden,HOLYOKE,c ,
Hampden,Longmeadow ,,
Hampden,Ludlow ,,
Hampden,Monson ,,
Hampden,Montgomery ,,
Hampden,PALMER,c,
Hampden,Russell ,,
Hampden,Southwick ,,
Hampden,SPRINGFIELD,c,s
Hampden,Tolland ,,
Hampden,Wales ,,
Hampden,WEST SPRINGFIELD,c,
Hampden,WESTFIELD,c,
Hampden,Wilbraham ,,
Hampshire,AMHERST,c,
Hampshire,Belchertown ,,
Hampshire,Chesterfield ,,
Hampshire,Cummington ,,
Hampshire,EASTHAMPTON,c,
Hampshire,Goshen ,,
Hampshire,Granby ,,
Hampshire,Hadley ,,
Hampshire,Hatfield ,,
