date,town,cases, rate
2020-05-13,Abington,190,1057.85
2020-05-13,Acton,120,505.64
2020-05-13,Acushnet,59,564.41
2020-05-13,Adams,33,398.52
2020-05-13,Agawam,404,1412.37
2020-05-13,Alford,0,0
2020-05-13,Amesbury,154,925.18
2020-05-13,Amherst,76,187.66
2020-05-13,Andover,239,663.61
2020-05-13,Aquinnah,0,0
2020-05-13,Arlington,261,569.76
2020-05-13,Ashburnham,23,366.25
2020-05-13,Ashby,13,376
2020-05-13,Ashfield,,
2020-05-13,Ashland,179,918.29
2020-05-13,Athol,46,384.45
2020-05-13,Attleboro,527,1139.02
2020-05-13,Auburn,159,964.08
2020-05-13,Avon,61,1392.47
2020-05-13,Ayer,49,606.44
2020-05-13,Barnstable,267,595.38
2020-05-13,Barre,43,773.69
2020-05-13,Becket,12,666.5
2020-05-13,Bedford,214,1436.59
2020-05-13,Belchertown,79,496.15
2020-05-13,Bellingham,107,598.56
2020-05-13,Belmont,192,703.14
2020-05-13,Berkley,42,619.45
2020-05-13,Berlin,18,563.69
2020-05-13,Bernardston,6,286.94
2020-05-13,Beverly,501,1217.01
2020-05-13,Billerica,456,1046.28
2020-05-13,Blackstone,36,398.04
2020-05-13,Blandford,,
2020-05-13,Bolton,11,217.71
2020-05-13,Boston,11551,1662.09
2020-05-13,Bourne,133,635.76
2020-05-13,Boxborough,22,430.73
2020-05-13,Boxford,35,453.53
2020-05-13,Boylston,13,289.61
2020-05-13,Braintree,724,1839.44
2020-05-13,Brewster,91,918.05
2020-05-13,Bridgewater,302,1061.62
2020-05-13,Brimfield,,
2020-05-13,Brockton,3429,3490.14
2020-05-13,Brookfield,12,327.72
2020-05-13,Brookline,321,498.57
2020-05-13,Buckland,7,376.25
2020-05-13,Burlington,216,781.38
2020-05-13,Cambridge,873,774.03
2020-05-13,Canton,253,1096.92
2020-05-13,Carlisle,10,209.7
2020-05-13,Carver,47,386
2020-05-13,Charlemont,,
2020-05-13,Charlton,51,362.42
2020-05-13,Chatham,12,204.91
2020-05-13,Chelmsford,291,808.75
2020-05-13,Chelsea,2412,6403.89
2020-05-13,Cheshire,,
2020-05-13,Chester,,
2020-05-13,Chesterfield,,
2020-05-13,Chicopee,332,582.3
2020-05-13,Chilmark,,
2020-05-13,Clarksburg,7,415.82
2020-05-13,Clinton,153,1087.02
2020-05-13,Cohasset,21,283.8
2020-05-13,Colrain,,
2020-05-13,Concord,152,811.75
2020-05-13,Conway,,
2020-05-13,Cummington,,
2020-05-13,Dalton,9,137.99
2020-05-13,Danvers,616,2157.18
2020-05-13,Dartmouth,240,651.83
2020-05-13,Dedham,317,1168.67
2020-05-13,Deerfield,9,168.77
2020-05-13,Dennis,78,589.85
2020-05-13,Dighton,50,637.29
2020-05-13,Douglas,33,351.08
2020-05-13,Dover,16,307.03
2020-05-13,Dracut,374,1157.7
2020-05-13,Dudley,64,516.8
2020-05-13,Dunstable,8,240.09
2020-05-13,Duxbury,59,389.87
2020-05-13,East Bridgewater,157,1063.95
2020-05-13,East Brookfield,7,312.3
2020-05-13,East Longmeadow,224,1324.31
2020-05-13,Eastham,10,215.22
2020-05-13,Easthampton,60,370.06
2020-05-13,Easton,224,945.22
2020-05-13,Edgartown,7,170.66
2020-05-13,Egremont,5,456.27
2020-05-13,Erving,6,286.53
2020-05-13,Essex,17,456.9
2020-05-13,Everett,1366,2814.38
2020-05-13,Fairhaven,158,985.62
2020-05-13,Fall River,868,970.41
2020-05-13,Falmouth,150,479.98
2020-05-13,Fitchburg,516,1224.12
2020-05-13,Florida,,
2020-05-13,Foxborough,96,530.01
2020-05-13,Framingham,1347,1808.87
2020-05-13,Franklin,103,304.62
2020-05-13,Freetown,73,806.78
2020-05-13,Gardner,134,670.34
2020-05-13,Georgetown,40,447.74
2020-05-13,Gill,,
2020-05-13,Gloucester,211,737.12
2020-05-13,Goshen,,
2020-05-13,Gosnold,0,0
2020-05-13,Grafton,72,361
2020-05-13,Granby,20,325.65
2020-05-13,Granville,9,578.29
2020-05-13,Great Barrington,51,750.47
2020-05-13,Greenfield,186,1071.16
2020-05-13,Groton,35,300.55
2020-05-13,Groveland,25,365.84
2020-05-13,Hadley,36,626.05
2020-05-13,Halifax,32,418.77
2020-05-13,Hamilton,24,321.11
2020-05-13,Hampden,37,748.87
2020-05-13,Hancock,,
2020-05-13,Hanover,56,390.93
2020-05-13,Hanson,80,747.19
2020-05-13,Hardwick,6,181.19
