Date,Town,Case,Rate
6/24/2020,Abington,233,1297.26
6/24/2020,Acton,157,661.55
6/24/2020,Acushnet,88,841.83
6/24/2020,Adams,35,422.67
6/24/2020,Agawam,452,1580.18
6/24/2020,Alford,,
6/24/2020,Amesbury,178,1069.37
6/24/2020,Amherst,94,232.11
6/24/2020,Andover,305,846.87
6/24/2020,Aquinnah,,
6/24/2020,Arlington,304,663.63
6/24/2020,Ashburnham,32,509.56
6/24/2020,Ashby,15,433.84
6/24/2020,Ashfield,,
6/24/2020,Ashland,247,1267.12
6/24/2020,Athol,63,526.53
6/24/2020,Attleboro,654,1413.51
6/24/2020,Auburn,213,1291.5
6/24/2020,Avon,72,1643.58
6/24/2020,Ayer,136,1683.17
6/24/2020,Barnstable,362,807.22
6/24/2020,Barre,62,1115.56
6/24/2020,Becket,14,777.58
6/24/2020,Bedford,271,1819.23
6/24/2020,Belchertown,102,640.59
6/24/2020,Bellingham,125,699.25
6/24/2020,Belmont,230,842.3
6/24/2020,Berkley,70,1032.42
6/24/2020,Berlin,20,626.32
6/24/2020,Bernardston,6,286.94
6/24/2020,Beverly,609,1479.35
6/24/2020,Billerica,539,1236.72
6/24/2020,Blackstone,47,519.66
6/24/2020,Blandford,,
6/24/2020,Bolton,11,217.71
6/24/2020,Boston,13897,1999.66
6/24/2020,Bourne,154,736.14
6/24/2020,Boxborough,25,489.47
6/24/2020,Boxford,41,531.28
6/24/2020,Boylston,20,445.55
6/24/2020,Braintree,812,2063.02
6/24/2020,Brewster,103,1039.11
6/24/2020,Bridgewater,359,1262
6/24/2020,Brimfield,6,161.06
6/24/2020,Brockton,4197,4271.83
6/24/2020,Brookfield,19,518.88
6/24/2020,Brookline,386,599.52
6/24/2020,Buckland,8,430
6/24/2020,Burlington,265,958.63
6/24/2020,Cambridge,986,874.22
6/24/2020,Canton,285,1235.66
6/24/2020,Carlisle,15,314.55
6/24/2020,Carver,58,476.34
6/24/2020,Charlemont,,
6/24/2020,Charlton,75,532.97
6/24/2020,Chatham,18,307.37
6/24/2020,Chelmsford,333,925.47
6/24/2020,Chelsea,2907,7718.12
6/24/2020,Cheshire,,
6/24/2020,Chester,,
6/24/2020,Chesterfield,,
6/24/2020,Chicopee,433,759.45
6/24/2020,Chilmark,,
6/24/2020,Clarksburg,7,415.82
6/24/2020,Clinton,245,1740.65
6/24/2020,Cohasset,25,337.86
6/24/2020,Colrain,,
6/24/2020,Concord,173,923.9
6/24/2020,Conway,,
6/24/2020,Cummington,,
6/24/2020,Dalton,13,199.32
6/24/2020,Danvers,725,2538.89
6/24/2020,Dartmouth,386,1048.36
6/24/2020,Dedham,399,1470.98
6/24/2020,Deerfield,10,187.53
6/24/2020,Dennis,96,725.97
6/24/2020,Dighton,67,853.96
6/24/2020,Douglas,46,489.38
6/24/2020,Dover,18,345.41
6/24/2020,Dracut,459,1420.82
6/24/2020,Dudley,93,750.98
6/24/2020,Dunstable,10,300.12
6/24/2020,Duxbury,111,733.48
6/24/2020,East Bridgewater,177,1199.48
6/24/2020,East Brookfield,14,624.6
6/24/2020,East Longmeadow,271,1602.17
6/24/2020,Eastham,10,215.22
6/24/2020,Easthampton,83,511.92
6/24/2020,Easton,269,1135.1
6/24/2020,Edgartown,7,170.66
6/24/2020,Egremont,5,456.27
6/24/2020,Erving,6,286.53
6/24/2020,Essex,24,645.04
6/24/2020,Everett,1747,3599.36
6/24/2020,Fairhaven,240,1497.14
6/24/2020,Fall River,1566,1750.75
6/24/2020,Falmouth,201,643.17
6/24/2020,Fitchburg,786,1864.65
6/24/2020,Florida,,
6/24/2020,Foxborough,112,618.35
6/24/2020,Framingham,1720,2309.77
6/24/2020,Franklin,132,390.39
6/24/2020,Freetown,97,1072.03
6/24/2020,Gardner,193,965.49
6/24/2020,Georgetown,56,626.83
6/24/2020,Gill,,
6/24/2020,Gloucester,257,897.82
6/24/2020,Goshen,,
6/24/2020,Gosnold,0,0
6/24/2020,Grafton,94,471.31
6/24/2020,Granby,28,455.91
6/24/2020,Granville,10,642.55
6/24/2020,Great Barrington,72,1059.49
6/24/2020,Greenfield,201,1157.54
6/24/2020,Groton,43,369.24
6/24/2020,Groveland,33,482.9
6/24/2020,Hadley,43,747.78
6/24/2020,Halifax,56,732.85
6/24/2020,Hamilton,36,481.67
6/24/2020,Hampden,96,1943.01
6/24/2020,Hancock,,
6/24/2020,Hanover,74,516.59
6/24/2020,Hanson,108,1008.71
6/24/2020,Hardwick,9,271.78
6/24/2020,Harvard,18,259.84
6/24/2020,Harwich,123,979.06
6/24/2020,Hatfield,17,523.54
6/24/2020,Haverhill,1217,1848.26
6/24/2020,Hawley,0,0
6/24/2020,Heath,0,0
6/24/2020,Hingham,275,1156.06
6/24/2020,Hinsdale,,
6/24/2020,Holbrook,193,1708.71
6/24/2020,Holden,119,630.93
6/24/2020,Holland,8,312.46
6/24/2020,Holliston,56,406.25
6/24/2020,Holyoke,905,2196.37
6/24/2020,Hopedale,42,739.56
6/24/2020,Hopkinton,121,741.67
6/24/2020,Hubbardston,6,128.74
6/24/2020,Hudson,191,911.85
6/24/2020,Hull,50,506.25
6/24/2020,Huntington,14,633.09
6/24/2020,Ipswich,71,528
6/24/2020,Kingston,136,1002.7
6/24/2020,Lakeville,59,522.55
6/24/2020,Lancaster,100,1167.16
6/24/2020,Lanesborough,8,262.63
6/24/2020,Lawrence,3515,3986.35
6/24/2020,Lee,19,323.14
6/24/2020,Leicester,151,1340.57
6/24/2020,Lenox,13,266.47
