Date,Town,Cases,Rate
7/15/2020,Abington,238,1325.092851
7/15/2020,Acton,167,703.6885185
7/15/2020,Acushnet,97,927.9249462
7/15/2020,Adams,35,422.67
7/15/2020,Agawam,480,1678.065517
7/15/2020,Alford,,
7/15/2020,Amesbury,185,1111.420718
7/15/2020,Amherst,100,246.9278351
7/15/2020,Andover,317,880.1866139
7/15/2020,Aquinnah,,
7/15/2020,Arlington,312,681.0919481
7/15/2020,Ashburnham,33,525.48375
7/15/2020,Ashby,15,433.84
7/15/2020,Ashfield,,
7/15/2020,Ashland,251,1287.660363
7/15/2020,Athol,67,559.96
7/15/2020,Attleboro,671,1450.256682
7/15/2020,Auburn,217,1315.75338
7/15/2020,Avon,76,1734.884865
7/15/2020,Ayer,142,1757.43
7/15/2020,Barnstable,373,831.7494565
7/15/2020,Barre,62,1115.56
7/15/2020,Becket,16,888.672
7/15/2020,Bedford,259,1738.674562
7/15/2020,Belchertown,107,671.9905714
7/15/2020,Bellingham,138,771.9679412
7/15/2020,Belmont,232,849.6221645
7/15/2020,Berkley,71,1047.17
7/15/2020,Berlin,20,626.32
7/15/2020,Bernardston,7,334.77
7/15/2020,Beverly,620,1506.069144
7/15/2020,Billerica,572,1312.437056
7/15/2020,Blackstone,55,608.11
7/15/2020,Blandford,,
7/15/2020,Bolton,11,217.71
7/15/2020,Boston,14316,2059.947034
7/15/2020,Bourne,159,760.0401266
7/15/2020,Boxborough,26,509.05
7/15/2020,Boxford,43,557.2
7/15/2020,Boylston,21,467.8275
7/15/2020,Braintree,816,2073.181327
7/15/2020,Brewster,107,1079.463786
7/15/2020,Bridgewater,357,1254.969359
7/15/2020,Brimfield,7,187.9033333
7/15/2020,Brockton,4275,4351.224436
7/15/2020,Brookfield,20,546.1894737
7/15/2020,Brookline,403,625.9327318
7/15/2020,Buckland,8,430
7/15/2020,Burlington,268,969.4874906
7/15/2020,Cambridge,985,873.3364519
7/15/2020,Canton,292,1266.001241
7/15/2020,Carlisle,19,398.43
7/15/2020,Carver,61,500.9754237
7/15/2020,Charlemont,,
7/15/2020,Charlton,86,611.1387952
7/15/2020,Chatham,20,341.5263158
7/15/2020,Chelmsford,341,947.7067953
7/15/2020,Chelsea,2977,7903.970261
7/15/2020,Cheshire,,
7/15/2020,Chester,,
7/15/2020,Chesterfield,,
7/15/2020,Chicopee,469,822.5870022
7/15/2020,Chilmark,,
7/15/2020,Clarksburg,7,415.82
7/15/2020,Clinton,257,1825.898656
7/15/2020,Cohasset,27,364.89
7/15/2020,Colrain,,
7/15/2020,Concord,177,945.2618497
7/15/2020,Conway,,
7/15/2020,Cummington,,
7/15/2020,Dalton,16,245.32
7/15/2020,Danvers,741,2594.915732
7/15/2020,Dartmouth,394,1070.087877
7/15/2020,Dedham,412,1518.899951
7/15/2020,Deerfield,11,206.283
7/15/2020,Dennis,95,718.41
7/15/2020,Dighton,67,853.96
7/15/2020,Douglas,49,521.29875
7/15/2020,Dover,18,345.41
7/15/2020,Dracut,479,1482.732854
7/15/2020,Dudley,95,767.125
7/15/2020,Dunstable,10,300.1181818
7/15/2020,Duxbury,117,773.127931
7/15/2020,East Bridgewater,181,1226.59
7/15/2020,East Brookfield,13,579.98
